Entidad Crediticia;Mes de Registro;Tipo de Tarjeta;Membres¡a Anual Tarjeta principal;Membres¡a Anual Tarjeta Adicional;Cargo por Perdida o Robada (B/.);Cargo por Deterioro (B/.);Tasa de inter‚s                                                                                                                                                                                                                                                                                                   Nominal Anual (%);L¡mite de Cr‚dito Inferior (B/.);L¡mite de Cr‚dito Superior;Costo de Seguro Contra Fraude (B/.) ;Desgravamen;Fecha de Corte;Fecha de Pago;Pago                                                                                                                                                                                                                                                                                                                                            M¡nimo Mensual (B/.);Pagos                                                                                                                                                                                                                                                                                Atrasados (B/.);Sobregiro (B/.);Adelanto de Dinero en Efectivo (B/.)
ST. GEORGES BANK & COMPANY, INC.;45323;Visa Educash Platino;$155;40;28;;0.245;5000;7499.99;$7.00 hasta $30,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $84.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Visa Educash Oro;$115;40;28;;0.265;2000;5999;$4.50 hasta $10,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $62.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Visa Educash Cl sica;$84;40;28;;0.275;500;1.999.99;$4.00 hasta $10,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $62.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Mastercard  Mapfre Platino;$155;40;28;;0.245;5000;7499.99;$7.00 hasta $30,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $84.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Mastercard  Mapfre Oro;$115;40;28;;0.265;2000;5999;$4.50 hasta $10,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $62.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Mastercard Multimax Cl sica;$84;40;28;;0.275;500;1.999.99;$4.00 hasta $10,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $62.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Mastercard Multimax Oro;$115;40;28;;0.265;2000;5999;$4.50 hasta $10,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $62.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Mastercard Multimax Platino;$155;40;28;;0.245;5000;7499.99;$4.50 hasta $10,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;7,9,11,14;M x. 26 d¡as despu‚s del corte;1.67% del saldo + intereses (m¡nimo $10.00);4% de la deuda, m¡nimo $12, m ximo $84.00;$65;10% m¡nimo $12.50 + itbms
ST. GEORGES BANK & COMPANY, INC.;45323;Mastercard Cashback Standard;$62;40;28;;0.275;500;4999;$4.00 hasta $10,000.00 ;0.29% sobre saldo adeudado m¡nimo $2.50;11;M x. 26 d¡as despu‚s del corte;"1.67% de la deuda + intereses
(m¡nimo de pago $10.00) ";4% de la deuda, m¡nimo $12, m ximo $62.00;$65;10% m¡nimo $12.50 + itbms
THE BANK OF NOVA SCOTIA;45323;Visa Clasica Basic;55;0;0;0;" Tasa minima 6%, 
Tasa promedio 22%";500;25000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Cl sica +Premios;75;0;0;0;" Tasa minima 6%,
y Tasa promedio 23%";500;25000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Gold +Premios;89;0;0;0;"Tasa minima 6%, 
Tasa promedio 19% ";600;35000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Rey Scotiabank Gold;B/. 7.00 mensuales;0;0;0;"Tasa minima 6%, 
Tasa promedio 23.50% ";600;35000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Platinum +Premios;150;0;0;0;"Tasa minima 6%, 
 Tasa promedio 15%";2000;50000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Signature +Premios;215;0;0;0;"Tasa minima 6%,
Tasa promedio 15%";3500;50000;5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Mastercard Cl sica +Premios;75;0;0;0;"Tasa minima 6%, 
Tasa promedio 22%";500;25000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Mastercard Gold +Premios ;89;0;0;0;"Tasa minima 6%,
Tasa promedio 16%";600;35000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Mastercard Platinum +Premios;150;0;0;0;"Tasa minima 6%, 
Tasa promedio 12% ";2000;50000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Mastercard Black +Premios;215;0;0;0;"Tasa minima 6%, 
Tasa promedio 12% ";3500;50000;5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Cl sica AAdvantage;98;35;0;0;"Tasa minima 6%, 
Tasa promedio 20%";600;25000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Gold AAdvantage;120;35;0;0;" Tasa minima 6%,
Tasa promedio 17%";1200;35000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Platinum AAdvantage ;170;35;0;0;"Tasa minima 6%,
Tasa promedio 15% ";2000;50000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Platinum LifeMiles Real ;150;35;0;0;"Tasa minima 6%, 
Tasa promedio 15% ";2000;50000;4.5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
THE BANK OF NOVA SCOTIA;45323;Visa Infinite LifeMiles ;215;35;0;0;"Tasa minima 6%, 
Tasa promedio 12% ";5000;50000;5;$.2.09 por millar ;N/A;(25) d¡as calendarios siguientes a la emisi¢n del estado de cuenta;1.51% del saldo financiable;Aplica un cargo fijo en base al saldo hasta un m ximo de B/.60.00;50;M¡nimo $7.50 ¢ 6%
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Cl sica Local;60;20;30;0;22;1000;n/a;5;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Cl sica Extranjera;60;20;30;0;22;1000;n/a;5;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Cl sica Corporativa;60;20;30;0;22;1000;n/a;5;n/a;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Magic Dreams Cl sica;75;30;30;0;22;500;n/a;5;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Gold Local y Extranjera;90;25;30;0;19;5000;n/a;6;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Gold Corporativa;90;25;30;0;19;5000;n/a;6;n/a;19 de cada mes;12 de cada mes;3% m¡nimo  $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Empresarial;125;50;30;0;18;5000;n/a;7;n/a;19 de cada mes;12 de cada mes;5% m¡nimo $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Magic Dreams Gold;75;30;30;0;18;5000;n/a;7;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo  $25.00;50;50;5% m¡nimo $25.00
TOWERBANK INTERNATIONAL BANK, INC.;45323;VISA Infinite;210;50;30;0;14;10000;n/a;9.00 Hasta 25K y 12 hasta 50k;1.85 por cada mil de saldo adeudado ;19 de cada mes;12 de cada mes;3% m¡nimo  $25.00;75;60;5% m¡nimo $25.00
BANCO ALIADO, S.A.;45413;Visa Gold;70;20;20;Gratis;0.22;400;4999;3.85;  $.2.50 por  millar mas 5% de impuesto ;5 de cada mes;30 de cada mes;0.03;40;30;10% min $10.00
BANCO ALIADO, S.A.;45413;Visa Platinum;90;25;20;Gratis;0.2;5000;9999;4.5;;5 de cada mes;30 de cada mes;0.03;45;40;10% min $10.00
BANCO ALIADO, S.A.;45413;Visa Infinite;120;30;20;Gratis;0.18;10000;100000;7;;5 de cada mes;30 de cada mes;0.03;50;50;10% min $10.00
BANCO ALIADO, S.A.;45413;Visa Corporate   ;100;100;20;Gratis;0.22;1000;En Adelante;7;N/A;30 de cada mes;25 de cada mes;0.03;50;50;10% min $10.00
BANCO ALIADO, S.A.;45413;Visa Prepago ;25;25;20;Gratis;N/A;N/A;N/A;3.5;N/A;25 de cada mes;N/A;N/A;N/A;N/A;5
BAC INTERNATIONAL BANK, INC.;45413;Visa/MasterCard/BAC Credomatic;40;20;50;20;0.2796;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;15;15;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;SmartCash Cl sica American Express;$7 por mes o sin cargo mensual si realiza 5 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;SmartCash Cl sica American Express;$60.00;20;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;MasterCard Cl sica;$ 7.00 mensuales;$ 2.00 mensuales;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Visa Cl sica;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Panafoto de American Express Punch;$7 por mes o sin cargo mensual si realiza 5 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;MasterCard Panafoto Punch;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Panafoto American Express ;$60.00;20;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;MasterCard Panafoto;$60.00;20;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Visa / Mastercard SmartCash Cl sica Punch;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis ;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Visa SmartCash ;$75.00;20;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413; PriceSmart Visa Platinum (baja);Gratis;Gratis;50;20;0.2508;400;1900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413; PriceSmart Visa Platinum (alta);Gratis;Gratis;50;20;0.2352;2000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;"American Express  DESTINY Dorado
";$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;"American Express/Visa Dorada ConnectMiles
";95;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;American Express Blue Centurion;10 trans ¢ B/.10.00;Gratis 1er a¤o;50;20;1.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;31 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;51;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;MasterCard/ American Express LifeMiles Dorada;$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Credomatic/AAdvantage MasterCard/American Express Gold;$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;MasterCard SmartCash Dorada;$8 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2453;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Gold American Express;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Visa / Mastercard SmartCash Platinum;$10 por mes o sin cargo mensual si realiza 10 transacciones de compras al mes. ;Gratis ;50;20;0.2352;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Visa/American Express Platinum ConnectMiles de BAC Credomatic;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413; MasterCard Unlimited Platino;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;MasterCard/ American Express LifeMiles Platino ;$ 150.00;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Credomatic/AAdvantage MasterCard/American Express Platino;175;Gratis;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413; MasterCard Unlimited Black;150;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45413;Visa Infinite/American Express ConnectMiles de BAC Credomatic;$150.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
